sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="0387",="06","Abel Nogueira, Lda.","2022","1104,28","361,2","21,85","52,65","0","139","0","183,55","0","0","106","240,03","0"
="0402",="05","Fresave Sociedade Mecânica, Lda.","2022","600,74","0","97,2","0","0","0","48,75","248,22","206,57","0","0","0","0"
="0492",="06","Tornearia JM Moura, Unip., Lda.","2022","895,05","0","0","0","0","0","0","0","895,05","0","0","0","0"
="0611",="08","Metavil Emp. Transformadora Metalo Vidreira,Lda.","2022","69,5","0","0","0","0","0","0","69,5","0","0","0","0","0"
="0692",="30","Marsilinox Indústria Metalúrgica Lda.","2022","34","0","0","0","0","0","0","0","0","0","0","0","34"
="0622",="12","Moldicorte Fábrica Moldes Cortantes, Lda.","2022","446,95","0","0","0","0","0","0","100,13","0","128,56","0","218,26","0"
="0628",="30","Moldoplástico, SA","2022","4003,06","395,78","452,65","465,2","149,87","179,6","313,3","915,56","32","331,6","53,8","667,4","46,3"
="0682",="06","Oniram Soc. Construção Máquinas Industriais, Lda.","2022","4798,42","814,7","199,1","922,4","358,9","894,05","253,2","56,14","0","0","153,72","424,18","722,03"
="0709",="30","RST Construtora Máquinas Acessórios, SA.","2022","59","0","0","0","59","0","0","0","0","0","0","0","0"
="0715",="06","IMFU Ind. Moldes Ferramentas Utensílios, SA","2022","4542,98","258,1","59","139,4","0","706,55","458,5","139","100,43","459,55","1127,95","493,5","601"
="0785",="14","Simão Fernando Silva Couto","2022","776,49","81,14","73,54","0","115,77","41,04","0","188,96","37,87","41,9","118,4","0","77,87"
="0817",="06","Leite Mendes, Lda","2022","3785,58","613,7","0","1084,13","626,27","733,88","77,7","0","0","0","612,9","37","0"
="0986",="30","Mecanofabril Metalúrgica, Lda","2022","133,2","0","0","0","0","0","0","0","0","133,2","0","0","0"
="1077",="08","Usimeca Metalomecânica, Lda.","2022","592,2","102","348,9","0","0","0","0","0","0","0","141,3","0","0"
="1157",="12","RODI INDUSTRIES, S.A.","2022","964","0","0","0","0","964","0","0","0","0","0","0","0"
="1272",="12","Tornemor Tornearia Mecânica, Lda.","2022","245,2","0","0","0","0","85","0","68,1","0","61,9","-31,4","61,6","0"
="1465",="06","Proclima Indústria Produtos Alumínio, Lda.","2022","1013,84","86,4","0","86,4","0","269,7","0","182,14","91,8","99","156,6","-50","91,8"
="1488",="06","Folan Indústria Metalomecânica, Lda.","2022","1568,52","162,7","359,57","444,3","0","0","0","85,91","0","261,5","10","192,56","51,98"
="0818",="06","Hidrauserv Serviço Manutenção Hidráulica, Lda.","2022","163,76","0","0","0","0","0","0","0","42,66","0","121,1","0","0"
="0892",="11","Rolmaquinas Rolamentos Máquinas, Lda.","2022","2661,76","0","182,07","313,44","427,1","134,48","438,22","567,44","0","97,92","204,89","0","296,2"
="0944",="08","Virmolde Indústria Técnica de Moldes, Lda.","2022","618,33","0","0","0","72,48","126,9","72,48","0","0","0","0","58,9","287,57"
="1002",="30","Metalúrgica Rates, Sobral & Silva, Lda.","2022","45","0","0","0","0","0","0","0","0","0","0","45","0"
="1051",="05","Metalomarão - Equipamentos p/ a Ind. Extractiva, S.A.","2022","154,3","0","0","0","0","0","0","154,3","0","0","0","0","0"
="1075",="30","Vicaima Indústria Madeira Derivados, SA","2022","213,5","0","0","30,5","0","61","0","30,5","0","91,5","0","0","0"
="1133",="08","Ribermold, Lda.","2022","3610","0","0","0","0","0","3439","0","0","0","171","0","0"
="1209",="11","Coferac Com. Ferramenta Acess. P/Indústria, Lda.","2022","969,61","361,27","25,35","-7,2","76,56","0","0","198,39","0","0","237,86","65,62","11,76"
="1213",="11","Asseada Máquinas Comércio Máq. Ferramenta, Lda.","2022","78,04","32,54","0","28,76","16,74","0","0","0","0","0","0","0","0"
="1243",="30","Mindol Metalúrgica Industrial, Lda.","2022","413,98","90,85","0","163,45","0","0","0","0","0","24,68","0","135","0"
="1338",="30","Electro Instaladora de Bairro, Lda.","2022","194,2","0","0","0","0","162,7","0","31,5","0","0","0","0","0"
="1396",="05","Bramolde, Lda.","2022","292,23","0","0","215,2","0","0","0","77,03","0","0","0","0","0"
="1515",="12","Gruman Gruas Mangualde, Lda.","2022","286","0","0","0","0","0","0","114,4","57,2","0","0","114,4","0"
="1509",="11","José P Saramago & Cª., Lda.","2022","351,45","0","0","179,51","0","0","0","145,12","0","0","0","0","26,82"
="1525",="30","Seabra & Irmão Torno Fresa, Lda.","2022","658,43","0","0","0","18,9","0","0","0","0","0","0","578,33","61,2"
="1551",="06","Servitécnica C M Serv. Técnicos Engenharia, Lda.","2022","668,68","0","0","0","0","0","0","0","0","0","0","272,35","396,33"
